SMILES,Mean,target,antimicrobial_activity,is_valid,standardized_smiles
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(O)cc1,1.083,Acinetobacter baumannii ATCC 17978,0,True,CC=C(C1=CC(=O)C(OC)=CC1=O)c1ccc(O)cc1
C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C.O,0.937125,Acinetobacter baumannii ATCC 17978,0,True,C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C
CCCCCCCCCCCCCCCC(=O)OCC(O)CO,1.1682,Acinetobacter baumannii ATCC 17978,0,True,CCCCCCCCCCCCCCCC(=O)OCC(O)CO
CC1(C)C(=O)[C@@H]2O[C@@H]2[C@@]2(C)C1C[C@@H](O)[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)C3OC321,1.1699,Acinetobacter baumannii ATCC 17978,0,True,CC1(C)C(=O)C2O[C@@H]2[C@@]2(C)C1C[C@@H](O)[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)C3OC321
CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@@]2(C)[C@@H](O)C[C@H]1O,1.2117,Acinetobacter baumannii ATCC 17978,0,True,CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@@]2(C)[C@@H](O)C[C@H]1O
CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@@]2(C)C(=O)C[C@H]1O,0.933025,Acinetobacter baumannii ATCC 17978,0,True,CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5O[C@]543)[C@@]2(C)C(=O)C[C@H]1O
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,1.078325,Acinetobacter baumannii ATCC 17978,0,True,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1
CC(=O)OC1CC[C@@]2(C)C(CC[C@]3(C)C2C2OC2[C@]24OC(=O)[C@@]5(CCC(C)C(C)C52)CC[C@]43C)C1(C)C,1.07385,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)OC1CC[C@@]2(C)C(CC[C@]3(C)C2C2OC2[C@]24OC(=O)[C@@]5(CCC(C)C(C)C52)CC[C@]43C)C1(C)C
CC(=O)[C@@]12O[C@]1(C)CC1C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]12C,1.056995,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)[C@@]12O[C@]1(C)CC1C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]12C
C[C@@H](N)[C@@H](O)c1ccccc1.Cl,1.0683,Acinetobacter baumannii ATCC 17978,0,True,C[C@@H](N)[C@@H](O)c1ccccc1
CC(=O)c1ccc[nH]1,0.954625,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)c1ccc[nH]1
CC1=CC2C(CC1=O)C2(C)C,0.99404,Acinetobacter baumannii ATCC 17978,0,True,CC1=CC2C(CC1=O)C2(C)C
COc1ccc(C(=O)O)c(O)c1OC,1.212,Acinetobacter baumannii ATCC 17978,0,True,COc1ccc(C(=O)O)c(O)c1OC
CC1(C)CC2C1CCC1(C)OC1CCC2(C)O,1.046605,Acinetobacter baumannii ATCC 17978,0,True,CC1(C)CC2C1CCC1(C)OC1CCC2(C)O
O=c1c2ccccc2oc2ccc(O)cc12,1.0959,Acinetobacter baumannii ATCC 17978,0,True,O=c1c2ccccc2oc2ccc(O)cc12
COc1cc2c(cc1C=O)OCO2,0.973125,Acinetobacter baumannii ATCC 17978,0,True,COc1cc2c(cc1C=O)OCO2
COc1c(O)cccc1O,1.00444,Acinetobacter baumannii ATCC 17978,0,True,COc1c(O)cccc1O
Oc1ccnc(S)n1,0.99425,Acinetobacter baumannii ATCC 17978,0,True,O=c1cc[nH]c(=S)[nH]1
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0.704075,Acinetobacter baumannii ATCC 17978,1,True,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1,1.01075,Acinetobacter baumannii ATCC 17978,0,True,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1
O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,0.858665,Acinetobacter baumannii ATCC 17978,0,True,O=C(C=Cc1ccc(O)cc1)c1ccccc1O
COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,1.0383,Acinetobacter baumannii ATCC 17978,0,True,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1
O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,0.88518,Acinetobacter baumannii ATCC 17978,0,True,O=C(/C=C/c1ccccc1)c1ccc(O)cc1O
O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,0.99197,Acinetobacter baumannii ATCC 17978,0,True,O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O
COc1ccc(/C=C/C(=O)c2cc(O)ccc2O)cc1,1.0644,Acinetobacter baumannii ATCC 17978,0,True,COc1ccc(C=CC(=O)c2cc(O)ccc2O)cc1
N#CCCN.O=C(O)/C=C/C(=O)O,0.936195,Acinetobacter baumannii ATCC 17978,0,True,O=C(O)/C=C/C(=O)O
CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(C(C)=O)=CC[C@H]4C3CC[C@H]2C1,1.22065,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(C(C)=O)=CC[C@H]4C3CC[C@H]2C1
CC(=O)O[C@H]1C[C@@H](O)C(C)(C)C2C[C@@H](OC(C)=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@]21C,1.00283,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)O[C@H]1C[C@@H](O)C(C)(C)C2C[C@@H](OC(C)=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@]21C
O=c1c(O)c(-c2ccccc2)oc2ccccc12,0.962745,Acinetobacter baumannii ATCC 17978,0,True,O=c1c(O)c(-c2ccccc2)oc2ccccc12
COc1cccc(O)c1O,0.940505,Acinetobacter baumannii ATCC 17978,0,True,COc1cccc(O)c1O
CC(=O)O[C@@H]1CC2C(C)(C)C=CC[C@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]21C,0.981655,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)O[C@@H]1CC2C(C)(C)C=CC[C@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C4O[C@]43[C@@]21C
COc1cc(C=O)cc(OC)c1OC,0.99287,Acinetobacter baumannii ATCC 17978,0,True,COc1cc(C=O)cc(OC)c1OC
O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12,1.25575,Acinetobacter baumannii ATCC 17978,0,True,O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12
COc1ccc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2OC)cc1,1.007085,Acinetobacter baumannii ATCC 17978,0,True,COc1ccc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2OC)cc1
O=c1c(O)c(-c2ccccc2)oc2cccc(O)c12,1.06675,Acinetobacter baumannii ATCC 17978,0,True,O=c1c(O)c(-c2ccccc2)oc2cccc(O)c12
O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,0.96201,Acinetobacter baumannii ATCC 17978,0,True,O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12
COc1ccc2c(=O)c(OC)c(-c3ccccc3)oc2c1,0.939275,Acinetobacter baumannii ATCC 17978,0,True,COc1ccc2c(=O)c(OC)c(-c3ccccc3)oc2c1
O=c1cc(-c2cccc(O)c2)oc2ccc(O)cc12,0.89689,Acinetobacter baumannii ATCC 17978,0,True,O=c1cc(-c2cccc(O)c2)oc2ccc(O)cc12
CC(=O)O[C@@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@@]3(C)C4=CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC23)C1(C)C,0.956395,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)O[C@@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@@]3(C)C4=CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC23)C1(C)C
C=C1C2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1CC(O)C(C)(C)C(CC(=O)OC)[C@@]21C,1.035655,Acinetobacter baumannii ATCC 17978,0,True,C=C1C2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1CC(O)C(C)(C)C(CC(=O)OC)[C@@]21C
CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@]3(C)C2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@H]4O[C@]423)C1(C)C,0.867685,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@]3(C)C2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)C4O[C@]423)C1(C)C
CC(CCC(=O)O)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,0.879375,Acinetobacter baumannii ATCC 17978,0,True,CC(CCC(=O)O)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
CC(=O)O[C@@H]1CC2C(C)(CC[C@H](O)C2(C)C)C2CC[C@]3(C)C(=CC(=O)O[C@H]3c3ccoc3)C21C,0.94485,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)O[C@@H]1CC2C(C)(CC[C@H](O)C2(C)C)C2CC[C@]3(C)C(=CC(=O)O[C@H]3c3ccoc3)C21C
CC(=O)Oc1ccc(O)cc1,0.91935,Acinetobacter baumannii ATCC 17978,0,True,CC(=O)Oc1ccc(O)cc1
