antimicrobial_activity,standardized_smiles,target,source
0,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,Acinetobacter baumannii ATCC 17978,swanson_2024
0,COC(=O)C1=CCCN(C)C1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Acinetobacter baumannii ATCC 17978,swanson_2024
0,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Acinetobacter baumannii ATCC 17978,swanson_2024
0,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,Brc1c(NC2=NCCN2)ccc2nccnc12,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC(C)(O)CC,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CCCCCCCCCCCCC(O)CC(O)CO,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C=CCCCCCCCCCCCC(O)CC(O)CO,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CCN(C)C(C)Cc1ccccc1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CCN(C)Cc1ccccc1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)C=CC2C3CC=C4CC(=O)CCC4C3CCC21CC,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21CC,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CCC4=CCCCC4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,C(=CN1CCN(C(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CC(=CCO)CCC(C)CCCC(C)CCCC(C)C,Acinetobacter baumannii ATCC 17978,swanson_2024
0,CC1=CCCC(C)=CCC(C)(C)C=CC1,Acinetobacter baumannii ATCC 17978,swanson_2024
