SMILES,antimicrobial_activity,target,is_valid,standardized_smiles
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,0,Acinetobacter baumannii ATCC 17978,True,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0,Acinetobacter baumannii ATCC 17978,True,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Br.CN1C2CC(O)[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,0,Acinetobacter baumannii ATCC 17978,True,CN1C2CC(O)[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
Br.CN1C2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,0,Acinetobacter baumannii ATCC 17978,True,CN1C2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2
Br.CN1C2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1OC21,0,Acinetobacter baumannii ATCC 17978,True,CN1C2C[C@H](OC(=O)C(CO)c3ccccc3)C[C@H]1[C@H]1OC21
Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,Acinetobacter baumannii ATCC 17978,True,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
Br.COC(=O)C1=CCCN(C)C1,0,Acinetobacter baumannii ATCC 17978,True,COC(=O)C1=CCCN(C)C1
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0,Acinetobacter baumannii ATCC 17978,True,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,0,Acinetobacter baumannii ATCC 17978,True,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
Br.Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,Acinetobacter baumannii ATCC 17978,True,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Br.NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,0,Acinetobacter baumannii ATCC 17978,True,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1
Brc1c(NC2=NCCN2)ccc2nccnc12,0,Acinetobacter baumannii ATCC 17978,True,Brc1c(NC2=NCCN2)ccc2nccnc12
C#CC(C)(O)CC,0,Acinetobacter baumannii ATCC 17978,True,C#CC(C)(O)CC
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0,Acinetobacter baumannii ATCC 17978,True,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C
C#CCCCCCCCCCCCC(O)CC(O)CO,0,Acinetobacter baumannii ATCC 17978,True,C#CCCCCCCCCCCCC(O)CC(O)CO
C#CCCCCCCCCCCCC(O)CC(O)CO.C=CCCCCCCCCCCCC(O)CC(O)CO,0,Acinetobacter baumannii ATCC 17978,True,C=CCCCCCCCCCCCC(O)CC(O)CO
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,0,Acinetobacter baumannii ATCC 17978,True,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O.C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O,0,Acinetobacter baumannii ATCC 17978,True,C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O
C#CCN(C)C(C)Cc1ccccc1.Cl,0,Acinetobacter baumannii ATCC 17978,True,C#CCN(C)C(C)Cc1ccccc1
C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl,0,Acinetobacter baumannii ATCC 17978,True,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
C#CCN(C)Cc1ccccc1.Cl,0,Acinetobacter baumannii ATCC 17978,True,C#CCN(C)Cc1ccccc1
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0,Acinetobacter baumannii ATCC 17978,True,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1
C#C[C@]1(O)C=CC2[C@@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)C=CC2[C@@H]3CC=C4CC(=O)CCC4C3CC[C@@]21CC
C#C[C@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CC=C4CC(=O)CCC4C3CC[C@@]21C
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CC=C4CC(=O)CCC4C3CC[C@@]21CC
C#C[C@]1(O)CCC2C3CCC4=CCCCC4C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CCC4=CCCCC4C3CC[C@@]21C
C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@]4(C)C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@]4(C)C3CC[C@@]21C
C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C
C#C[C@]1(O)CCC2C3CCc4cc(OC)ccc4C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CCc4cc(OC)ccc4C3CC[C@@]21C
C#C[C@]1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CC[C@@]21C
C#C[C@]1(O)CCC2[C@@H]3CCC4=CCCC[C@@H]4C3C(=C)C[C@@]21CC,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(O)CCC2[C@@H]3CCC4=CCCC[C@@H]4C3C(=C)C[C@@]21CC
C#C[C@]1(OC(C)=O)CCC2C3CCC4=C/C(=N/O)CCC4C3CC[C@@]21CC,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CC[C@@]21CC
C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CC[C@@]21C
C#C[C@]1(OC(C)=O)CCC2C3CCC4=C[C@@H](OC(C)=O)CCC4C3CC[C@@]21C,0,Acinetobacter baumannii ATCC 17978,True,C#C[C@]1(OC(C)=O)CCC2C3CCC4=C[C@@H](OC(C)=O)CCC4C3CC[C@@]21C
C(=C/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\Cc1ccccc1,0,Acinetobacter baumannii ATCC 17978,True,C(=C/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\Cc1ccccc1
C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0,Acinetobacter baumannii ATCC 17978,True,C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,0,Acinetobacter baumannii ATCC 17978,True,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
C/C(=C\CO)CC[C@H](C)CCC[C@H](C)CCCC(C)C,0,Acinetobacter baumannii ATCC 17978,True,C/C(=C\CO)CC[C@H](C)CCC[C@H](C)CCCC(C)C
C/C1=C/CC(C)(C)/C=C/C/C(C)=C/CC1,0,Acinetobacter baumannii ATCC 17978,True,C/C1=C/CC(C)(C)/C=C/C/C(C)=C/CC1
C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N=C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)(O)O[C@@H]4[C@@H](CO)OC(n5c[n+]([Co]C#N)c6cc(C)c(C)cc65)[C@@H]4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O,0,Acinetobacter baumannii ATCC 17978,True,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N=C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)(O)O[C@@H]4[C@@H](CO)OC(n5cnc6cc(C)c(C)cc65)[C@@H]4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O
C/C=C(/C)C(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(CO)C(CC1(C)C)C1=CCC3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)C4CC[C@@]3(C)[C@]1(C)C[C@H]2O,0,Acinetobacter baumannii ATCC 17978,True,C/C=C(/C)C(=O)O[C@@H]1[C@H](OC(C)=O)[C@@]2(CO)C(CC1(C)C)C1=CCC3[C@@]4(C)CC[C@H](O[C@@H]5OC(C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)C4CC[C@@]3(C)[C@]1(C)C[C@H]2O
