smiles,antibiotic_activity,mol_weight,clogp,clogp_6.5
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,0,384.27,2.6355,0
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0,405.311,4.39088,0
Br.CN1C2CC(O)[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,0,386.286,1.4796,0
Br.CN1C2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,0,356.26,2.4663,0
Br.CN1C2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1OC21,0,384.27,1.496,0
Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0,463.441,4.3989,0
Br.COC(=O)C1=CCCN(C)C1,0,236.109,0.9992,0
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0,352.316,3.9613,0
Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,0,379.367,4.44214,0
Br.Cn1c(=O)c2c(ncn2C)n(C)c1=O,0,275.106,-0.4514,0
Br.NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,0,507.472,4.5354,0
Brc1c(NC2=NCCN2)ccc2nccnc12,0,292.14,1.7634,0
C#CC(C)(O)CC,0,98.145,0.7806,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0,312.453,3.8826,0
C#CCCCCCCCCCCCC(O)CC(O)CO,0,284.44,3.0149,0
C#CCCCCCCCCCCCC(O)CC(O)CO.C=CCCCCCCCCCCCC(O)CC(O)CO,0,570.896,6.5826,1
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,0,326.477,3.5857,0
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O.C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O,0,654.97,7.7242,1
C#CCN(C)C(C)Cc1ccccc1.Cl,0,223.747,2.6044,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl,0,308.636,3.7491,0
C#CCN(C)Cc1ccccc1.Cl,0,195.693,2.1734,0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0,350.48,3.9192,0
C#C[C@]1(O)C=CC2[C@@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,0,310.437,3.6586,0
C#C[C@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,0,298.426,3.6366,0
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C,0,298.426,3.4925,0
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC,0,312.453,3.8826,0
